Date,State_UnionTerritory,Count
02-Jun-20,Andaman and Nicobar Islands,0
02-Jun-20,Andhra Pradesh,115
02-Jun-20,Arunachal Pradesh,6
02-Jun-20,Assam,76
02-Jun-20,Bihar,151
02-Jun-20,Chandigarh,4
02-Jun-20,Chhattisgarh,17
02-Jun-20,Delhi,1298
02-Jun-20,Dadra and Nagar Haveli and Daman and Diu,0
02-Jun-20,Goa,6
02-Jun-20,Gujarat,415
02-Jun-20,Himachal Pradesh,5
02-Jun-20,Haryana,296
02-Jun-20,Jharkhand,61
02-Jun-20,Jammu and Kashmir,117
02-Jun-20,Karnataka,388
02-Jun-20,Kerala,86
02-Jun-20,Ladakh,4
02-Jun-20,Lakshadweep,0
02-Jun-20,Maharashtra,2287
02-Jun-20,Meghalaya,2
02-Jun-20,Manipur,6
02-Jun-20,Madhya Pradesh,137
02-Jun-20,Mizoram,12
02-Jun-20,Nagaland,6
02-Jun-20,Odisha,141
02-Jun-20,Punjab,41
02-Jun-20,Puducherry,0
02-Jun-20,Rajasthan,273
02-Jun-20,Sikkim,0
02-Jun-20,Telangana,99
02-Jun-20,Tamil Nadu,1091
02-Jun-20,Tripura,48
02-Jun-20,Total,8820
02-Jun-20,State Unassigned,784
02-Jun-20,Uttar Pradesh,368
02-Jun-20,Uttarakhand,84
02-Jun-20,West Bengal,396
